"ID";"Perioden";"PrijsindexBestaandeKoopwoningen_1"
"0";"1995MM01";"    41.3"
"1";"1995MM02";"    41.5"
"2";"1995MM03";"    41.4"
"4";"1995MM04";"    41.6"
"5";"1995MM05";"    41.8"
"6";"1995MM06";"    42.2"
"8";"1995MM07";"    42.7"
"9";"1995MM08";"    43.2"
"10";"1995MM09";"    43.3"
"12";"1995MM10";"    43.5"
"13";"1995MM11";"    43.4"
"14";"1995MM12";"    43.9"
"17";"1996MM01";"    44.5"
"18";"1996MM02";"    44.8"
"19";"1996MM03";"    45.2"
"21";"1996MM04";"    45.9"
"22";"1996MM05";"    46.5"
"23";"1996MM06";"    46.7"
"25";"1996MM07";"    47.4"
"26";"1996MM08";"    48.0"
"27";"1996MM09";"    48.5"
"29";"1996MM10";"    48.7"
"30";"1996MM11";"    49.1"
"31";"1996MM12";"    49.3"
"34";"1997MM01";"    49.9"
"35";"1997MM02";"    50.6"
"36";"1997MM03";"    51.2"
"38";"1997MM04";"    51.6"
"39";"1997MM05";"    51.9"
"40";"1997MM06";"    52.4"
"42";"1997MM07";"    53.0"
"43";"1997MM08";"    53.7"
"44";"1997MM09";"    53.7"
"46";"1997MM10";"    54.4"
"47";"1997MM11";"    54.8"
"48";"1997MM12";"    54.8"
"51";"1998MM01";"    55.3"
"52";"1998MM02";"    56.1"
"53";"1998MM03";"    56.4"
"55";"1998MM04";"    56.8"
"56";"1998MM05";"    57.4"
"57";"1998MM06";"    57.9"
"59";"1998MM07";"    58.5"
"60";"1998MM08";"    59.3"
"61";"1998MM09";"    60.0"
"63";"1998MM10";"    60.6"
"64";"1998MM11";"    61.1"
"65";"1998MM12";"    61.2"
"68";"1999MM01";"    62.6"
"69";"1999MM02";"    63.3"
"70";"1999MM03";"    64.2"
"72";"1999MM04";"    65.1"
"73";"1999MM05";"    66.2"
"74";"1999MM06";"    67.0"
"76";"1999MM07";"    68.4"
"77";"1999MM08";"    69.8"
"78";"1999MM09";"    70.6"
"80";"1999MM10";"    72.1"
"81";"1999MM11";"    72.7"
"82";"1999MM12";"    73.1"
"85";"2000MM01";"    74.9"
"86";"2000MM02";"    76.0"
"87";"2000MM03";"    77.0"
"89";"2000MM04";"    77.8"
"90";"2000MM05";"    78.8"
"91";"2000MM06";"    80.1"
"93";"2000MM07";"    81.3"
"94";"2000MM08";"    82.2"
"95";"2000MM09";"    83.3"
"97";"2000MM10";"    83.8"
"98";"2000MM11";"    84.2"
"99";"2000MM12";"    84.4"
"102";"2001MM01";"    85.0"
"103";"2001MM02";"    86.7"
"104";"2001MM03";"    86.8"
"106";"2001MM04";"    88.1"
"107";"2001MM05";"    88.4"
"108";"2001MM06";"    89.0"
"110";"2001MM07";"    89.9"
"111";"2001MM08";"    90.8"
"112";"2001MM09";"    91.6"
"114";"2001MM10";"    91.1"
"115";"2001MM11";"    91.9"
"116";"2001MM12";"    91.6"
"119";"2002MM01";"    92.6"
"120";"2002MM02";"    93.2"
"121";"2002MM03";"    93.8"
"123";"2002MM04";"    94.0"
"124";"2002MM05";"    94.7"
"125";"2002MM06";"    94.8"
"127";"2002MM07";"    95.6"
"128";"2002MM08";"    96.4"
"129";"2002MM09";"    96.4"
"131";"2002MM10";"    96.4"
"132";"2002MM11";"    96.2"
"133";"2002MM12";"    95.5"
"136";"2003MM01";"    96.5"
"137";"2003MM02";"    97.0"
"138";"2003MM03";"    97.1"
"140";"2003MM04";"    97.7"
"141";"2003MM05";"    97.9"
"142";"2003MM06";"    98.3"
"144";"2003MM07";"    98.7"
"145";"2003MM08";"    98.8"
"146";"2003MM09";"    99.0"
"148";"2003MM10";"    99.5"
"149";"2003MM11";"    99.8"
"150";"2003MM12";"   100.2"
"153";"2004MM01";"   100.7"
"154";"2004MM02";"   101.2"
"155";"2004MM03";"   101.0"
"157";"2004MM04";"   101.8"
"158";"2004MM05";"   102.1"
"159";"2004MM06";"   102.3"
"161";"2004MM07";"   103.2"
"162";"2004MM08";"   103.8"
"163";"2004MM09";"   103.7"
"165";"2004MM10";"   104.1"
"166";"2004MM11";"   103.8"
"167";"2004MM12";"   103.7"
"170";"2005MM01";"   104.3"
"171";"2005MM02";"   105.0"
"172";"2005MM03";"   105.3"
"174";"2005MM04";"   105.7"
"175";"2005MM05";"   106.4"
"176";"2005MM06";"   106.3"
"178";"2005MM07";"   107.1"
"179";"2005MM08";"   107.6"
"180";"2005MM09";"   107.6"
"182";"2005MM10";"   107.9"
"183";"2005MM11";"   108.0"
"184";"2005MM12";"   108.3"
"187";"2006MM01";"   109.1"
"188";"2006MM02";"   109.8"
"189";"2006MM03";"   110.2"
"191";"2006MM04";"   110.6"
"192";"2006MM05";"   111.0"
"193";"2006MM06";"   111.5"
"195";"2006MM07";"   112.2"
"196";"2006MM08";"   112.5"
"197";"2006MM09";"   112.5"
"199";"2006MM10";"   112.8"
"200";"2006MM11";"   113.1"
"201";"2006MM12";"   113.0"
"204";"2007MM01";"   113.9"
"205";"2007MM02";"   114.0"
"206";"2007MM03";"   114.7"
"208";"2007MM04";"   115.0"
"209";"2007MM05";"   115.6"
"210";"2007MM06";"   116.0"
"212";"2007MM07";"   116.8"
"213";"2007MM08";"   117.8"
"214";"2007MM09";"   117.4"
"216";"2007MM10";"   117.6"
"217";"2007MM11";"   118.1"
"218";"2007MM12";"   117.5"
"221";"2008MM01";"   119.0"
"222";"2008MM02";"   119.0"
"223";"2008MM03";"   119.4"
"225";"2008MM04";"   119.5"
"226";"2008MM05";"   119.0"
"227";"2008MM06";"   119.3"
"229";"2008MM07";"   120.3"
"230";"2008MM08";"   120.9"
"231";"2008MM09";"   120.5"
"233";"2008MM10";"   120.2"
"234";"2008MM11";"   119.3"
"235";"2008MM12";"   119.5"
"238";"2009MM01";"   120.1"
"239";"2009MM02";"   118.9"
"240";"2009MM03";"   117.7"
"242";"2009MM04";"   116.8"
"243";"2009MM05";"   116.0"
"244";"2009MM06";"   114.8"
"246";"2009MM07";"   114.9"
"247";"2009MM08";"   114.2"
"248";"2009MM09";"   113.8"
"250";"2009MM10";"   113.9"
"251";"2009MM11";"   113.4"
"252";"2009MM12";"   112.7"
"255";"2010MM01";"   113.0"
"256";"2010MM02";"   113.3"
"257";"2010MM03";"   113.1"
"259";"2010MM04";"   113.9"
"260";"2010MM05";"   113.1"
"261";"2010MM06";"   112.9"
"263";"2010MM07";"   113.6"
"264";"2010MM08";"   113.7"
"265";"2010MM09";"   112.9"
"267";"2010MM10";"   112.4"
"268";"2010MM11";"   112.1"
"269";"2010MM12";"   111.8"
"272";"2011MM01";"   111.6"
"273";"2011MM02";"   111.2"
"274";"2011MM03";"   111.7"
"276";"2011MM04";"   111.2"
"277";"2011MM05";"   111.1"
"278";"2011MM06";"   110.9"
"280";"2011MM07";"   111.0"
"281";"2011MM08";"   110.3"
"282";"2011MM09";"   109.4"
"284";"2011MM10";"   109.2"
"285";"2011MM11";"   108.4"
"286";"2011MM12";"   107.2"
"289";"2012MM01";"   107.6"
"290";"2012MM02";"   107.4"
"291";"2012MM03";"   105.8"
"293";"2012MM04";"   105.0"
"294";"2012MM05";"   104.3"
"295";"2012MM06";"   105.3"
"297";"2012MM07";"   101.2"
"298";"2012MM08";"   100.8"
"299";"2012MM09";"   100.2"
"301";"2012MM10";"    99.9"
"302";"2012MM11";"   100.5"
"303";"2012MM12";"    99.8"
"306";"2013MM01";"    96.9"
"307";"2013MM02";"    98.1"
"308";"2013MM03";"    98.2"
"310";"2013MM04";"    96.8"
"311";"2013MM05";"    95.5"
"312";"2013MM06";"    95.0"
"314";"2013MM07";"    96.1"
"315";"2013MM08";"    96.3"
"316";"2013MM09";"    96.1"
"318";"2013MM10";"    95.9"
"319";"2013MM11";"    95.5"
"320";"2013MM12";"    96.1"
"323";"2014MM01";"    96.4"
"324";"2014MM02";"    96.4"
"325";"2014MM03";"    96.1"
"327";"2014MM04";"    96.9"
"328";"2014MM05";"    96.8"
"329";"2014MM06";"    97.1"
"331";"2014MM07";"    97.9"
"332";"2014MM08";"    97.9"
"333";"2014MM09";"    97.7"
"335";"2014MM10";"    98.0"
"336";"2014MM11";"    97.7"
"337";"2014MM12";"    97.9"
"340";"2015MM01";"    98.4"
"341";"2015MM02";"    98.7"
"342";"2015MM03";"    98.8"
"344";"2015MM04";"    99.1"
"345";"2015MM05";"    99.4"
"346";"2015MM06";"    99.6"
"348";"2015MM07";"   100.5"
"349";"2015MM08";"   100.4"
"350";"2015MM09";"   101.2"
"352";"2015MM10";"   101.4"
"353";"2015MM11";"   101.5"
"354";"2015MM12";"   101.1"
"357";"2016MM01";"   102.4"
"358";"2016MM02";"   102.5"
"359";"2016MM03";"   103.0"
"361";"2016MM04";"   103.2"
"362";"2016MM05";"   103.7"
"363";"2016MM06";"   104.3"
"365";"2016MM07";"   105.5"
"366";"2016MM08";"   106.4"
"367";"2016MM09";"   107.2"
"369";"2016MM10";"   107.0"
"370";"2016MM11";"   107.5"
"371";"2016MM12";"   107.9"
"374";"2017MM01";"   108.9"
"375";"2017MM02";"   109.3"
"376";"2017MM03";"   110.5"
"378";"2017MM04";"   110.9"
"379";"2017MM05";"   111.7"
"380";"2017MM06";"   112.5"
"382";"2017MM07";"   113.5"
"383";"2017MM08";"   114.6"
"384";"2017MM09";"   115.0"
"386";"2017MM10";"   115.8"
"387";"2017MM11";"   116.4"
"388";"2017MM12";"   116.8"
"391";"2018MM01";"   118.6"
"392";"2018MM02";"   119.7"
"393";"2018MM03";"   120.1"
"395";"2018MM04";"   120.6"
"396";"2018MM05";"   121.7"
"397";"2018MM06";"   122.5"
"399";"2018MM07";"   123.7"
"400";"2018MM08";"   125.4"
"401";"2018MM09";"   125.7"
"403";"2018MM10";"   126.2"
"404";"2018MM11";"   127.4"
"405";"2018MM12";"   126.6"
"408";"2019MM01";"   128.8"
"409";"2019MM02";"   128.7"
"410";"2019MM03";"   129.2"
"412";"2019MM04";"   129.8"
"413";"2019MM05";"   130.4"
"414";"2019MM06";"   130.9"
"416";"2019MM07";"   132.4"
"417";"2019MM08";"   132.5"
"418";"2019MM09";"   133.4"
"420";"2019MM10";"   134.1"
"421";"2019MM11";"   134.8"
"422";"2019MM12";"   134.8"
"425";"2020MM01";"   136.9"
"426";"2020MM02";"   137.2"
"427";"2020MM03";"   138.3"
"429";"2020MM04";"   139.3"
"430";"2020MM05";"   140.4"
"431";"2020MM06";"   140.9"
"433";"2020MM07";"   142.2"
"434";"2020MM08";"   143.4"
"435";"2020MM09";"   144.8"
"437";"2020MM10";"   146.3"
"438";"2020MM11";"   146.8"
"439";"2020MM12";"   146.1"
"442";"2021MM01";"   149.7"
"443";"2021MM02";"   151.4"
"444";"2021MM03";"   153.9"
"446";"2021MM04";"   155.3"
"447";"2021MM05";"   158.4"
"448";"2021MM06";"   161.4"
"450";"2021MM07";"   165.3"
"451";"2021MM08";"   168.9"
"452";"2021MM09";"   171.5"
"454";"2021MM10";"   173.2"
"455";"2021MM11";"   176.3"
"456";"2021MM12";"   175.8"
